snapshot_epoch,position,max_prob,entropy,top5_acc,topk_tokens
1,0,0.4700295627117157,2.6789841651916504,0.25,"[1537, 9955, 1995, 281, 734]"
1,1,0.4007714092731476,2.8645434379577637,0.25,"[1537, 9955, 281, 1995, 510]"
1,2,0.41590744256973267,3.2196037769317627,0.375,"[9955, 1537, 1995, 281, 734]"
1,3,0.27587223052978516,3.8218469619750977,0.125,"[9955, 1537, 1995, 281, 734]"
1,4,0.3195981979370117,3.341827154159546,0.5,"[1537, 9955, 612, 1995, 281]"
1,5,0.29161337018013,3.891848564147949,0.25,"[1537, 9955, 711, 734, 1995]"
1,6,0.2883811295032501,3.495361328125,0.125,"[9955, 1537, 281, 1995, 734]"
1,7,0.3927954435348511,3.1473991870880127,0.25,"[9955, 1537, 711, 1310, 983]"
1,8,0.2571282982826233,3.8633949756622314,0.125,"[1537, 9955, 711, 1995, 281]"
1,9,0.25766435265541077,3.7562663555145264,0.125,"[1537, 9955, 711, 1995, 281]"
1,10,0.25314846634864807,3.9444286823272705,0.0,"[1537, 9955, 511, 1550, 281]"
1,11,0.28350868821144104,3.656306028366089,0.375,"[1537, 9955, 511, 281, 711]"
1,12,0.28605085611343384,3.870018482208252,0.125,"[9955, 711, 281, 1995, 1537]"
1,13,0.30589041113853455,4.20858097076416,0.0,"[9955, 711, 1537, 1995, 983]"
1,14,0.308033287525177,3.454456329345703,0.0,"[711, 9955, 1537, 281, 1995]"
1,15,0.23582302033901215,4.1421356201171875,0.125,"[9955, 1537, 711, 281, 1995]"
1,16,0.299604594707489,3.881535768508911,0.0,"[9955, 711, 1537, 281, 1995]"
1,17,0.26271840929985046,4.156717777252197,0.125,"[711, 9955, 983, 1310, 1537]"
1,18,0.17247268557548523,4.81583833694458,0.25,"[9955, 711, 511, 281, 1537]"
1,19,0.23706364631652832,4.704585552215576,0.0,"[9955, 511, 1537, 711, 1995]"
1,20,0.21661831438541412,4.3740081787109375,0.25,"[9955, 1537, 511, 1550, 711]"
1,21,0.2502663731575012,4.297540664672852,0.125,"[711, 9955, 286, 1995, 511]"
1,22,0.20169062912464142,4.16520881652832,0.125,"[9955, 1537, 711, 1995, 511]"
1,23,0.29127535223960876,4.31803035736084,0.375,"[9955, 711, 511, 1537, 281]"
1,24,0.2498246729373932,4.312403202056885,0.125,"[711, 9955, 511, 983, 5156]"
1,25,0.17864513397216797,5.1275787353515625,0.0,"[9955, 511, 711, 1537, 5156]"
1,26,0.16164609789848328,5.005347728729248,0.0,"[1537, 281, 711, 9955, 813]"
1,27,0.2433895319700241,4.543428421020508,0.125,"[9955, 711, 281, 5156, 1537]"
1,28,0.19183212518692017,4.523412227630615,0.0,"[9955, 711, 281, 11040, 511]"
1,29,0.2253081351518631,4.602723598480225,0.125,"[711, 9955, 983, 11040, 511]"
1,30,0.18864667415618896,4.933988094329834,0.125,"[711, 511, 281, 9955, 1537]"
1,31,0.2663939595222473,4.348369598388672,0.125,"[9955, 711, 1995, 511, 983]"
1,32,0.29365214705467224,4.394288539886475,0.0,"[711, 466, 5156, 7301, 511]"
1,33,0.14396950602531433,5.344399929046631,0.0,"[711, 1537, 983, 281, 9955]"
1,34,0.1568259596824646,5.340400695800781,0.125,"[711, 5156, 9955, 511, 466]"
1,35,0.13706906139850616,5.486297130584717,0.25,"[711, 813, 3619, 9955, 281]"
1,36,0.2458134889602661,4.652930736541748,0.0,"[711, 511, 983, 9955, 1550]"
1,37,0.2829062342643738,4.875810146331787,0.25,"[9955, 511, 813, 711, 5156]"
1,38,0.1912274956703186,5.003396987915039,0.25,"[9955, 711, 983, 511, 1995]"
1,39,0.22476676106452942,4.85761022567749,0.0,"[711, 511, 9955, 5156, 983]"
1,40,0.16639509797096252,5.287548065185547,0.0,"[9955, 711, 983, 1537, 8531]"
1,41,0.18225346505641937,5.094036102294922,0.125,"[711, 813, 9955, 11311, 983]"
1,42,0.22787240147590637,4.644606590270996,0.0,"[711, 983, 511, 5156, 1995]"
1,43,0.11567902565002441,5.697349548339844,0.25,"[711, 511, 9955, 129, 983]"
1,44,0.23178593814373016,4.5470991134643555,0.0,"[711, 511, 9955, 286, 983]"
1,45,0.24395108222961426,4.23969841003418,0.25,"[711, 983, 511, 5156, 9955]"
1,46,0.2537268102169037,4.967966079711914,0.125,"[5156, 9955, 711, 8531, 11040]"
1,47,0.11968018859624863,5.467617034912109,0.125,"[711, 11311, 11040, 286, 5156]"
1,48,0.13858304917812347,5.591609954833984,0.125,"[511, 983, 9955, 711, 5156]"
1,49,0.15439358353614807,5.565415859222412,0.125,"[711, 511, 9955, 983, 1995]"
1,50,0.11855083703994751,5.971941947937012,0.125,"[711, 9955, 511, 22772, 983]"
1,51,0.14622345566749573,5.357378959655762,0.0,"[9955, 711, 511, 5156, 22772]"
1,52,0.16550368070602417,5.347894668579102,0.125,"[711, 983, 5156, 9955, 14899]"
1,53,0.08442684262990952,6.214023590087891,0.0,"[511, 11311, 983, 5156, 7703]"
1,54,0.1343516856431961,5.968326568603516,0.0,"[5156, 741, 11311, 1135, 17876]"
1,55,0.1085292249917984,5.561215877532959,0.0,"[511, 711, 9955, 983, 5156]"
1,56,0.12017960101366043,5.595917701721191,0.125,"[711, 9955, 511, 983, 129]"
1,57,0.09715743362903595,6.422467231750488,0.0,"[9955, 11311, 711, 6164, 983]"
1,58,0.07743099331855774,6.230119228363037,0.125,"[711, 983, 22772, 3348, 813]"
1,59,0.12127827107906342,6.060831546783447,0.0,"[711, 5156, 7301, 8531, 466]"
1,60,0.12161006033420563,5.605688095092773,0.0,"[711, 983, 9955, 5156, 511]"
1,61,0.07074899971485138,6.441570281982422,0.125,"[711, 511, 7301, 3348, 20935]"
1,62,0.18119896948337555,5.620614528656006,0.0,"[711, 7301, 466, 905, 5156]"
1,63,0.044855449348688126,8.007753372192383,0.125,"[5156, 6282, 741, 4900, 25451]"
2,0,0.5406363606452942,2.0092239379882812,0.75,"[2402, 612, 561, 13, 11]"
2,1,0.3342449367046356,2.975240707397461,0.75,"[257, 13, 11, 284, 561]"
2,2,0.5694599747657776,2.0855743885040283,0.75,"[640, 13, 287, 290, 4950]"
2,3,0.22341012954711914,3.5891826152801514,0.375,"[11, 612, 13, 290, 373]"
2,4,0.2345830798149109,3.664445638656616,0.5,"[612, 262, 290, 13, 618]"
2,5,0.20429658889770508,3.911224842071533,0.5,"[373, 262, 13, 561, 290]"
2,6,0.30828040838241577,3.393711566925049,0.625,"[257, 13, 845, 262, 284]"
2,7,0.21743829548358917,3.959407091140747,0.25,"[1310, 13, 640, 1263, 262]"
2,8,0.1257031261920929,4.388489723205566,0.125,"[13, 561, 262, 11, 290]"
2,9,0.13238000869750977,4.1938347816467285,0.25,"[13, 290, 284, 262, 11]"
2,10,0.19351693987846375,4.154746055603027,0.125,"[198, 13, 1375, 679, 561]"
2,11,0.21353553235530853,3.865232229232788,0.25,"[13, 262, 290, 11, 373]"
2,12,0.11514334380626678,4.545362949371338,0.0,"[13, 561, 284, 11, 373]"
2,13,0.15278306603431702,4.59407377243042,0.375,"[13, 11, 290, 262, 351]"
2,14,0.11729589849710464,4.6322174072265625,0.25,"[13, 3952, 290, 6766, 995]"
2,15,0.10809704661369324,4.858699798583984,0.25,"[13, 262, 290, 11, 561]"
2,16,0.12056253850460052,4.802865982055664,0.375,"[13, 262, 290, 11, 373]"
2,17,0.08170069009065628,5.04421854019165,0.125,"[640, 13, 11, 262, 290]"
2,18,0.12281245738267899,4.773998737335205,0.375,"[618, 561, 13, 262, 290]"
2,19,0.07819613814353943,5.249850749969482,0.25,"[13, 262, 290, 351, 11]"
2,20,0.10211576521396637,4.973875045776367,0.25,"[198, 3198, 13, 1375, 262]"
2,21,0.07372001558542252,5.253378868103027,0.125,"[13, 262, 11, 561, 290]"
2,22,0.15689325332641602,4.674183368682861,0.25,"[11, 13, 561, 284, 290]"
2,23,0.057890087366104126,5.415842533111572,0.0,"[612, 475, 262, 290, 618]"
2,24,0.0983944907784462,5.008882999420166,0.0,"[13, 284, 290, 561, 262]"
2,25,0.10996361076831818,5.0947747230529785,0.375,"[13, 3198, 284, 290, 11]"
2,26,0.08580951392650604,5.162861347198486,0.25,"[612, 475, 262, 618, 290]"
2,27,0.09715591371059418,5.1663713455200195,0.0,"[262, 13, 11, 290, 561]"
2,28,0.059619296342134476,5.273162364959717,0.25,"[13, 262, 290, 284, 561]"
2,29,0.07034353166818619,5.650868892669678,0.5,"[290, 13, 262, 11, 284]"
2,30,0.10996709018945694,5.105381011962891,0.375,"[262, 618, 290, 475, 13]"
2,31,0.11328904330730438,5.168328762054443,0.375,"[11, 262, 13, 290, 284]"
2,32,0.0827789455652237,5.334113597869873,0.125,"[262, 467, 711, 787, 1037]"
2,33,0.0905742347240448,5.043253421783447,0.0,"[6766, 262, 3952, 13, 290]"
2,34,0.0772797241806984,5.290497303009033,0.25,"[262, 13, 3198, 290, 11]"
2,35,0.07340515404939651,5.2837629318237305,0.375,"[475, 366, 290, 262, 612]"
2,36,0.072621189057827,5.428855895996094,0.5,"[95, 13, 290, 11, 561]"
2,37,0.08142628520727158,5.298301696777344,0.25,"[13, 290, 11, 262, 26391]"
2,38,0.10654252767562866,5.254792213439941,0.25,"[11, 13, 262, 290, 561]"
2,39,0.08039569109678268,5.375168323516846,0.25,"[262, 11, 3198, 13, 290]"
2,40,0.04506010189652443,6.31992769241333,0.25,"[11, 13, 407, 290, 262]"
2,41,0.0821467861533165,5.666877269744873,0.25,"[561, 11, 13, 290, 284]"
2,42,0.07379045337438583,5.502899646759033,0.125,"[26391, 11, 13, 290, 618]"
2,43,0.07080189138650894,5.7721662521362305,0.125,"[262, 11, 13, 561, 290]"
2,44,0.09533465653657913,5.40689754486084,0.25,"[13, 290, 11, 262, 284]"
2,45,0.12156693637371063,5.516076564788818,0.375,"[284, 13, 290, 11, 2613]"
2,46,0.06113653630018234,5.720776557922363,0.125,"[13, 284, 290, 262, 11]"
2,47,0.1318541020154953,5.30650520324707,0.375,"[11, 262, 284, 13, 290]"
2,48,0.07188044488430023,5.779139518737793,0.125,"[13, 262, 11, 290, 561]"
2,49,0.06126521900296211,5.768285751342773,0.375,"[26391, 13, 618, 290, 11]"
2,50,0.05061011388897896,6.292924880981445,0.25,"[262, 13, 11, 290, 284]"
2,51,0.07696051895618439,6.139476299285889,0.0,"[198, 13, 290, 11, 262]"
2,52,0.07115635275840759,5.685537338256836,0.125,"[11, 13, 640, 290, 262]"
2,53,0.043515995144844055,6.317021369934082,0.0,"[290, 13, 262, 618, 11]"
2,54,0.07229000329971313,6.035362243652344,0.125,"[11, 284, 262, 13, 3198]"
2,55,0.07831145823001862,5.654771327972412,0.25,"[13, 290, 11, 262, 284]"
2,56,0.05734192952513695,6.246054649353027,0.125,"[11, 13, 290, 561, 2877]"
2,57,0.05888906866312027,5.625974655151367,0.125,"[13, 290, 262, 1422, 284]"
2,58,0.08571045100688934,5.976714611053467,0.5,"[3952, 6766, 995, 1353, 2323]"
2,59,0.09057106077671051,5.790506839752197,0.25,"[13, 290, 262, 284, 561]"
2,60,0.13397473096847534,5.304152488708496,0.5,"[13, 11, 262, 290, 3198]"
2,61,0.10083982348442078,5.586081027984619,0.375,"[284, 13, 290, 845, 561]"
2,62,0.06753590703010559,6.528994560241699,0.125,"[711, 1445, 467, 1037, 4483]"
